seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
1	absolute	en	en	0.6103693127262712	0.6112	0.6112	0.6093263081582037	0.4644	False	1.0	-1.0
1	absolute	en	fr	0.3035369578813189	0.3098	0.3098	0.30336241811665415	1.1902	True	0.01643347163662836	-1.0
1	absolute	fr	en	0.34044985031541075	0.3946	0.3946	0.30870205634236664	0.9538	True	0.01643347163662836	-1.0
1	absolute	fr	fr	0.5224676761874139	0.5288	0.5288	0.5167387666012262	0.5688	False	1.0	-1.0
1	relative	en	en	0.6074708071060516	0.6078	0.6078	0.6065334851647253	0.4538	False	1.0	1.0
1	relative	en	fr	0.6113222174256973	0.6074	0.6074	0.6054670382622288	0.4536	True	0.0009750845359344749	-0.0018166538528065243
1	relative	fr	en	0.5378113737476022	0.526	0.526	0.5286643069717982	0.5516	True	0.0009750845359344749	-0.0018166538528065243
1	relative	fr	fr	0.5347686910496906	0.5264	0.5264	0.5296958337182841	0.5518	False	1.0	1.0
0	absolute	en	en	0.6051658737468161	0.609	0.609	0.6041907866168864	0.4624	False	1.0	-1.0
0	absolute	en	fr	0.2541613500603583	0.2734	0.2734	0.2507676999985042	1.0634	True	0.0297075145095222	-1.0
0	absolute	fr	en	0.2353735094136144	0.3088	0.3088	0.217761963189202	0.8918	True	0.0297075145095222	-1.0
0	absolute	fr	fr	0.5459907413156595	0.5238	0.5238	0.5291273622785264	0.5632	False	1.0	-1.0
0	relative	en	en	0.6170505149684935	0.616	0.616	0.6162050985388289	0.4478	False	1.0	1.0
0	relative	en	fr	0.6178179087759244	0.5996	0.5996	0.6025912125209139	0.4598	True	0.0146675562358156	0.0122557563126269
0	relative	fr	en	0.5160561944846364	0.5266	0.5266	0.5141188071116686	0.5794	True	0.0146675562358156	0.0122557563126269
0	relative	fr	fr	0.5291286447257803	0.528	0.528	0.528221308219057	0.5658	False	1.0	1.0
