seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
1	absolute	en	en	0.6056908081105783	0.6082	0.6082	0.5994850986715831	0.46	False	1.0	-1.0
1	absolute	en	fr	0.5210532559039314	0.4372	0.4372	0.3673910424286833	0.8406	True	0.002050181291329824	-1.0
1	absolute	fr	en	0.21805980734325814	0.2826	0.2826	0.1895972550926082	1.0848	True	0.002050181291329824	-1.0
1	absolute	fr	fr	0.5420374163348605	0.505	0.505	0.5128074928703591	0.568	False	1.0	-1.0
1	relative	en	en	0.628277155352467	0.6108	0.6108	0.6141465163107299	0.4438	False	1.0	1.0
1	relative	en	fr	0.6244929899260069	0.5994	0.5994	0.605175726614356	0.452	True	0.016777612571394915	0.006926055018375553
1	relative	fr	en	0.5261676753619882	0.496	0.496	0.5019544028435463	0.5892	True	0.016777612571394915	0.006926055018375553
1	relative	fr	fr	0.5465665372307624	0.5126	0.5126	0.5184792762231402	0.5742	False	1.0	1.0
0	absolute	en	en	0.6035272938765622	0.5958	0.5958	0.5942908943269651	0.4666	False	1.0	-1.0
0	absolute	en	fr	0.1531341737008935	0.3766	0.3766	0.2173839156940785	0.7922	True	0.0019698694692146	-1.0
0	absolute	fr	en	0.1909505264429767	0.2746	0.2746	0.16861728856251	1.4916	True	0.0019698694692146	-1.0
0	absolute	fr	fr	0.5354032902777053	0.5102	0.5102	0.5161640180127394	0.5752	False	1.0	-1.0
0	relative	en	en	0.6152001367392121	0.6142	0.6142	0.6131916753541378	0.4462	False	1.0	1.0
0	relative	en	fr	0.6164413566158919	0.6104	0.6104	0.612767702712347	0.4472	True	0.0233477160299497	0.0102498627282715
0	relative	fr	en	0.5228863408479258	0.5068	0.5068	0.5090103963903868	0.587	True	0.0233477160299497	0.0102498627282715
0	relative	fr	fr	0.5227927980338244	0.5128	0.5128	0.5157830315428273	0.5846	False	1.0	1.0
