seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.6035272938765622	0.5958	0.5958	0.5942908943269651	0.4666	False	1.0	-1.0
0	absolute	en	fr	0.15163285472692908	0.371	0.371	0.21502306521484607	0.8256	True	0.0019698694692146896	-1.0
0	absolute	fr	en	0.2216257551413482	0.307	0.307	0.17335024162767323	1.3288	True	0.0019698694692146896	-1.0
0	absolute	fr	fr	0.5444413208443677	0.5106	0.5106	0.5184135027470907	0.5662	False	1.0	-1.0
0	relative	en	en	0.6175172616261301	0.6164	0.6164	0.6147756357698966	0.4458	False	1.0	1.0
0	relative	en	fr	0.6213877534520953	0.608	0.608	0.6051987615598129	0.4502	True	0.000696719567004913	0.003124361439292345
0	relative	fr	en	0.5207513734027481	0.4926	0.4926	0.4977061853312457	0.5816	True	0.000696719567004913	0.003124361439292345
0	relative	fr	fr	0.5218128364700022	0.5026	0.5026	0.5088451822165843	0.5754	False	1.0	1.0
1	absolute	en	en	0.6056908081105783	0.6082	0.6082	0.5994850986715831	0.46	False	1.0	-1.0
1	absolute	en	fr	0.5210532559039314	0.4372	0.4372	0.3673910424286833	0.8406	True	0.002050181291329824	-1.0
1	absolute	fr	en	0.21805980734325814	0.2826	0.2826	0.1895972550926082	1.0848	True	0.0019698694692146896	-1.0
1	absolute	fr	fr	0.5420374163348605	0.505	0.505	0.5128074928703591	0.568	False	1.0	-1.0
1	relative	en	en	0.6140958357420682	0.6016	0.6016	0.6047729400597189	0.4492	False	1.0	1.0
1	relative	en	fr	0.6146839482900135	0.5862	0.5862	0.5849261264355616	0.4642	True	0.0035040012019815475	-0.00026939453506389575
1	relative	fr	en	0.5322752986715102	0.4974	0.4974	0.5033864863204881	0.5698	True	0.000696719567004913	0.003124361439292345
1	relative	fr	fr	0.5283059937622219	0.4964	0.4964	0.5017864661321402	0.5758	False	1.0	1.0
