seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.6084723316998353	0.6068	0.6068	0.60561708339892	0.4522	False	1.0	-1.0
0	absolute	en	fr	0.18997319808886123	0.3382	0.3382	0.21363745375710333	0.9498	True	0.008967701177909751	-1.0
0	absolute	fr	en	0.04	0.2	0.2	0.06666666666666668	2.0	True	0.008967701177909751	-1.0
0	absolute	fr	fr	0.5318323403159628	0.5232	0.5232	0.5263829563764946	0.5602	False	1.0	-1.0
0	relative	en	en	0.6044429180596317	0.6048	0.6048	0.6036220261547598	0.459	False	1.0	1.0
0	relative	en	fr	0.610240123859365	0.5794	0.5794	0.5781439685527786	0.4794	True	0.016519131396632296	0.007473061253322353
0	relative	fr	en	0.5239885128983844	0.5198	0.5198	0.5208765390573	0.5764	True	0.016519131396632296	0.007473061253322353
0	relative	fr	fr	0.5323155885511177	0.5104	0.5104	0.512557963056022	0.5824	False	1.0	1.0
1	absolute	en	en	0.6092280448574123	0.6118	0.6118	0.6072920172904933	0.4544	False	1.0	-1.0
1	absolute	en	fr	0.22811387890923143	0.3622	0.3622	0.2643524410945742	0.824	True	-0.0007712184426580782	-1.0
1	absolute	fr	en	0.3026388256338403	0.2466	0.2466	0.14161109488889662	1.642	True	0.008967701177909751	-1.0
1	absolute	fr	fr	0.5295913827188876	0.505	0.505	0.5117476274256775	0.5668	False	1.0	-1.0
1	relative	en	en	0.610240093466268	0.6146	0.6146	0.6102035145046053	0.4466	False	1.0	1.0
1	relative	en	fr	0.613499114694771	0.613	0.613	0.6108001719211502	0.4454	True	0.014971424487560864	0.006916128928310773
1	relative	fr	en	0.5422536804012458	0.5214	0.5214	0.526265408651429	0.5606	True	0.016519131396632296	0.007473061253322353
1	relative	fr	fr	0.541342346054528	0.5234	0.5234	0.5276754395694967	0.5612	False	1.0	1.0
