seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.6035272938765622	0.5958	0.5958	0.5942908943269651	0.4666	False	1.0	-1.0
0	absolute	en	fr	0.15163285472692908	0.371	0.371	0.21502306521484607	0.8256	True	0.0019698694692146896	-1.0
0	absolute	fr	en	0.2216257551413482	0.307	0.307	0.17335024162767323	1.3288	True	0.0019698694692146896	-1.0
0	absolute	fr	fr	0.5444413208443677	0.5106	0.5106	0.5184135027470907	0.5662	False	1.0	-1.0
0	relative	en	en	0.6152001367392121	0.6142	0.6142	0.6131916753541378	0.4462	False	1.0	1.0
0	relative	en	fr	0.6231634607203469	0.6154	0.6154	0.6181667308182641	0.4406	True	0.023347716029949717	0.010249862728271506
0	relative	fr	en	0.5392798628442503	0.5136	0.5136	0.5196665444698779	0.5722	True	0.023347716029949717	0.010249862728271506
0	relative	fr	fr	0.5449727803110722	0.5038	0.5038	0.5113394654096123	0.5788	False	1.0	1.0
1	absolute	en	en	0.6056908081105783	0.6082	0.6082	0.5994850986715831	0.46	False	1.0	-1.0
1	absolute	en	fr	0.47695700554636616	0.4492	0.4492	0.38053680586102684	0.9334	True	0.002050181291329824	-1.0
1	absolute	fr	en	0.19458080465934643	0.2938	0.2938	0.1977982303380664	1.1016	True	0.0019698694692146896	-1.0
1	absolute	fr	fr	0.5354243992743691	0.5106	0.5106	0.5177878100677856	0.5664	False	1.0	-1.0
1	relative	en	en	0.628277155352467	0.6108	0.6108	0.6141465163107299	0.4438	False	1.0	1.0
1	relative	en	fr	0.6262370139647505	0.602	0.602	0.6072585708133768	0.4506	True	0.016777612571394915	0.006926055018375553
1	relative	fr	en	0.5337032665609994	0.5044	0.5044	0.5102926302142607	0.5732	True	0.023347716029949717	0.010249862728271506
1	relative	fr	fr	0.5406436018667677	0.4984	0.4984	0.5001740776311987	0.5768	False	1.0	1.0
