seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.6152001367392121	0.6142	0.6142	0.6131916753541378	0.4462	False	1.0	1.0
0	absolute	en	fr	0.6231634607203469	0.6154	0.6154	0.6181667308182641	0.4406	True	0.0340196387944646	0.0178669631924412
0	absolute	fr	en	0.5392798628442503	0.5136	0.5136	0.5196665444698779	0.5722	True	0.0340196387944646	0.0178669631924412
0	absolute	fr	fr	0.5449727803110722	0.5038	0.5038	0.5113394654096123	0.5788	False	1.0	1.0
1	absolute	en	en	0.628277155352467	0.6108	0.6108	0.6141465163107299	0.4438	False	1.0	1.0
1	absolute	en	fr	0.6262370139647505	0.602	0.602	0.6072585708133768	0.4506	True	0.0254159383817465	0.018773311338039
1	absolute	fr	en	0.5337032665609994	0.5044	0.5044	0.5102926302142607	0.5732	True	0.0340196387944646	0.0178669631924412
1	absolute	fr	fr	0.5406436018667677	0.4984	0.4984	0.5001740776311987	0.5768	False	1.0	1.0
5	absolute	en	en	0.6144831184999915	0.6168	0.6168	0.6144762722155774	0.4448	False	1.0	1.0
5	absolute	en	fr	0.6236835574637074	0.6132	0.6132	0.6158375399250454	0.4404	True	0.054598372117073586	0.025780852145450388
5	absolute	fr	en	0.5290998910978382	0.5166	0.5166	0.5204880706694657	0.5722	True	0.054598372117073586	0.025780852145450388
5	absolute	fr	fr	0.5267480007899059	0.5194	0.5194	0.5222382554134	0.5756	False	1.0	1.0
7	absolute	en	en	0.6126388228525513	0.6104	0.6104	0.6106709891453018	0.4506	False	1.0	1.0
7	absolute	en	fr	0.6125688136297164	0.6106	0.6106	0.6113357232092769	0.4506	True	0.009273833984321208	-0.004947847062686068
7	absolute	fr	en	0.5368397593985514	0.4976	0.4976	0.5010100793159058	0.5784	True	0.054598372117073586	0.025780852145450388
7	absolute	fr	fr	0.5428791284992178	0.5064	0.5064	0.5111672060928925	0.5686	False	1.0	1.0
8	absolute	en	en	0.6253371249028934	0.6058	0.6058	0.6107333553946718	0.4462	False	1.0	1.0
8	absolute	en	fr	0.6284023971538361	0.6052	0.6052	0.6090016493589003	0.4446	True	0.016855812726397766	0.004809227438800433
8	absolute	fr	en	0.5367506182102368	0.492	0.492	0.491173681468161	0.5892	True	0.054598372117073586	0.025780852145450388
8	absolute	fr	fr	0.5239569490731776	0.5034	0.5034	0.5036527425483718	0.5882	False	1.0	1.0
0	relative	en	en	0.6152001367392121	0.6142	0.6142	0.6131916753541378	0.4462	False	1.0	1.0
0	relative	en	fr	0.6231634607203469	0.6154	0.6154	0.6181667308182641	0.4406	True	0.0340196387944646	0.0178669631924412
0	relative	fr	en	0.5392798628442503	0.5136	0.5136	0.5196665444698779	0.5722	True	0.0340196387944646	0.0178669631924412
0	relative	fr	fr	0.5449727803110722	0.5038	0.5038	0.5113394654096123	0.5788	False	1.0	1.0
1	relative	en	en	0.628277155352467	0.6108	0.6108	0.6141465163107299	0.4438	False	1.0	1.0
1	relative	en	fr	0.6262370139647505	0.602	0.602	0.6072585708133768	0.4506	True	0.0254159383817465	0.018773311338039
1	relative	fr	en	0.5337032665609994	0.5044	0.5044	0.5102926302142607	0.5732	True	0.0340196387944646	0.0178669631924412
1	relative	fr	fr	0.5406436018667677	0.4984	0.4984	0.5001740776311987	0.5768	False	1.0	1.0
5	relative	en	en	0.6144831184999915	0.6168	0.6168	0.6144762722155774	0.4448	False	1.0	1.0
5	relative	en	fr	0.6236835574637074	0.6132	0.6132	0.6158375399250454	0.4404	True	0.054598372117073586	0.025780852145450388
5	relative	fr	en	0.5290998910978382	0.5166	0.5166	0.5204880706694657	0.5722	True	0.054598372117073586	0.025780852145450388
5	relative	fr	fr	0.5267480007899059	0.5194	0.5194	0.5222382554134	0.5756	False	1.0	1.0
7	relative	en	en	0.6126388228525513	0.6104	0.6104	0.6106709891453018	0.4506	False	1.0	1.0
7	relative	en	fr	0.6125688136297164	0.6106	0.6106	0.6113357232092769	0.4506	True	0.009273833984321208	-0.004947847062686068
7	relative	fr	en	0.5368397593985514	0.4976	0.4976	0.5010100793159058	0.5784	True	0.054598372117073586	0.025780852145450388
7	relative	fr	fr	0.5428791284992178	0.5064	0.5064	0.5111672060928925	0.5686	False	1.0	1.0
8	relative	en	en	0.6253371249028934	0.6058	0.6058	0.6107333553946718	0.4462	False	1.0	1.0
8	relative	en	fr	0.6284023971538361	0.6052	0.6052	0.6090016493589003	0.4446	True	0.016855812726397766	0.004809227438800433
8	relative	fr	en	0.5367506182102368	0.492	0.492	0.491173681468161	0.5892	True	0.054598372117073586	0.025780852145450388
8	relative	fr	fr	0.5239569490731776	0.5034	0.5034	0.5036527425483718	0.5882	False	1.0	1.0
