seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.6084723316998353	0.6068	0.6068	0.60561708339892	0.4522	False	1.0	-1.0
0	absolute	en	fr	0.18997319808886123	0.3382	0.3382	0.21363745375710333	0.9498	True	0.008967701177909751	-1.0
0	absolute	fr	en	0.04	0.2	0.2	0.06666666666666668	2.0	True	0.008967701177909751	-1.0
0	absolute	fr	fr	0.5318323403159628	0.5232	0.5232	0.5263829563764946	0.5602	False	1.0	-1.0
0	relative	en	en	0.6044429180596317	0.6048	0.6048	0.6036220261547598	0.459	False	1.0	1.0
0	relative	en	fr	0.6135692539384198	0.5878	0.5878	0.5906530291696244	0.4656	True	0.016519131396632296	0.007473061253322353
0	relative	fr	en	0.5036809058166433	0.5054	0.5054	0.5040998188967571	0.5994	True	0.016519131396632296	0.007473061253322353
0	relative	fr	fr	0.5227927980338244	0.5128	0.5128	0.5157830315428273	0.5846	False	1.0	1.0
1	absolute	en	en	0.6092280448574123	0.6118	0.6118	0.6072920172904933	0.4544	False	1.0	-1.0
1	absolute	en	fr	0.22811387890923143	0.3622	0.3622	0.2643524410945742	0.824	True	-0.0007712184426580782	-1.0
1	absolute	fr	en	0.3026388256338403	0.2466	0.2466	0.14161109488889662	1.642	True	0.008967701177909751	-1.0
1	absolute	fr	fr	0.5295913827188876	0.505	0.505	0.5117476274256775	0.5668	False	1.0	-1.0
1	relative	en	en	0.610240093466268	0.6146	0.6146	0.6102035145046053	0.4466	False	1.0	1.0
1	relative	en	fr	0.6067339122864646	0.6086	0.6086	0.6041302653858025	0.4616	True	0.014971424487560864	0.006916128928310773
1	relative	fr	en	0.5143734682137041	0.5032	0.5032	0.5070787181341624	0.5992	True	0.016519131396632296	0.007473061253322353
1	relative	fr	fr	0.522586162792315	0.5184	0.5184	0.5192189926195134	0.5854	False	1.0	1.0
