seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.6035272938765622	0.5958	0.5958	0.5942908943269651	0.4666	False	1.0	-1.0
0	absolute	en	fr	0.15163285472692908	0.371	0.371	0.21502306521484607	0.8256	True	0.0019698694692146896	-1.0
0	absolute	fr	en	0.2216257551413482	0.307	0.307	0.17335024162767323	1.3288	True	0.0019698694692146896	-1.0
0	absolute	fr	fr	0.5444413208443677	0.5106	0.5106	0.5184135027470907	0.5662	False	1.0	-1.0
0	relative	en	en	0.6152001367392121	0.6142	0.6142	0.6131916753541378	0.4462	False	1.0	1.0
0	relative	en	fr	0.6164413566158919	0.6104	0.6104	0.612767702712347	0.4472	True	0.023347716029949717	0.010249862728271506
0	relative	fr	en	0.5228863408479258	0.5068	0.5068	0.5090103963903868	0.587	True	0.023347716029949717	0.010249862728271506
0	relative	fr	fr	0.5227927980338244	0.5128	0.5128	0.5157830315428273	0.5846	False	1.0	1.0
1	absolute	en	en	0.6056908081105783	0.6082	0.6082	0.5994850986715831	0.46	False	1.0	-1.0
1	absolute	en	fr	0.47695700554636616	0.4492	0.4492	0.38053680586102684	0.9334	True	0.002050181291329824	-1.0
1	absolute	fr	en	0.19458080465934643	0.2938	0.2938	0.1977982303380664	1.1016	True	0.0019698694692146896	-1.0
1	absolute	fr	fr	0.5354243992743691	0.5106	0.5106	0.5177878100677856	0.5664	False	1.0	-1.0
1	relative	en	en	0.628277155352467	0.6108	0.6108	0.6141465163107299	0.4438	False	1.0	1.0
1	relative	en	fr	0.6244929899260069	0.5994	0.5994	0.605175726614356	0.452	True	0.016777612571394915	0.006926055018375553
1	relative	fr	en	0.5261676753619882	0.496	0.496	0.5019544028435463	0.5892	True	0.023347716029949717	0.010249862728271506
1	relative	fr	fr	0.5465665372307624	0.5126	0.5126	0.5184792762231402	0.5742	False	1.0	1.0
