seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
1	absolute	en	en	0.6041396908493104	0.601	0.601	0.590636195901661	0.4828	False	1.0	-1.0
1	absolute	en	fr	0.3251369515271916	0.339	0.339	0.3055648808754563	1.1404	True	0.02129791678784146	-1.0
1	absolute	fr	en	0.3161609191791645	0.3162	0.3162	0.22550704082315787	1.2036	True	0.02129791678784146	-1.0
1	absolute	fr	fr	0.5412818984739625	0.511	0.511	0.5177290955579287	0.5704	False	1.0	-1.0
1	relative	en	en	0.6132793202345592	0.612	0.612	0.610610553094306	0.442	False	1.0	1.0
1	relative	en	fr	0.6136948463457206	0.6082	0.6082	0.6043345352720019	0.4448	True	0.006093436011790753	0.005789376085838614
1	relative	fr	en	0.5313400472752623	0.515	0.515	0.519777844774189	0.5638	True	0.006093436011790753	0.005789376085838614
1	relative	fr	fr	0.5208165250085246	0.5118	0.5118	0.5135281421821193	0.5702	False	1.0	1.0
0	absolute	en	en	0.5924124357342868	0.5946	0.5946	0.5900973065498385	0.4834	False	1.0	-1.0
0	absolute	en	fr	0.2214560252816114	0.2696	0.2696	0.2361851623268523	1.1128	True	0.0303715327142726	-1.0
0	absolute	fr	en	0.2459220879841356	0.3044	0.3044	0.2245231450471035	0.9924	True	0.0303715327142726	-1.0
0	absolute	fr	fr	0.5380479065772533	0.5224	0.5224	0.5256080166071153	0.5714	False	1.0	-1.0
0	relative	en	en	0.624651189098854	0.62	0.62	0.617919379113763	0.4384	False	1.0	1.0
0	relative	en	fr	0.6194078720059639	0.61	0.61	0.6061651472414499	0.4502	True	0.0022807972138103	0.001803920229364
0	relative	fr	en	0.5409632599033288	0.5118	0.5118	0.5126034249026378	0.5626	True	0.0022807972138103	0.001803920229364
0	relative	fr	fr	0.5210983811021784	0.52	0.52	0.5185209809865278	0.5648	False	1.0	1.0
