seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
1	absolute	en	en	0.6076746925036156	0.5922	0.5922	0.5967891124750608	0.4802	False	1.0	-1.0
1	absolute	en	fr	0.30712998165279964	0.3138	0.3138	0.2991986355633002	1.0812	True	0.02766915130317167	-1.0
1	absolute	fr	en	0.36117597249132755	0.3814	0.3814	0.34659380466303236	0.9874	True	0.02766915130317167	-1.0
1	absolute	fr	fr	0.5048316233006117	0.4918	0.4918	0.48951364248660684	0.6318	False	1.0	-1.0
1	relative	en	en	0.6182613352993496	0.615	0.615	0.613855850481132	0.4422	False	1.0	1.0
1	relative	en	fr	0.6264904983020967	0.6168	0.6168	0.6140342386566969	0.4376	True	0.011661507911837983	0.009313063836786333
1	relative	fr	en	0.5152317095283555	0.4854	0.4854	0.48593580730453106	0.59	True	0.011661507911837983	0.009313063836786333
1	relative	fr	fr	0.5290589011681384	0.4958	0.4958	0.5020235549384683	0.5768	False	1.0	1.0
0	absolute	en	en	0.5965132731560723	0.5894	0.5894	0.5848354871452315	0.4892	False	1.0	-1.0
0	absolute	en	fr	0.2159670271063334	0.227	0.227	0.2179177538275177	1.2196	True	0.0245229948662182	-1.0
0	absolute	fr	en	0.2693892502301095	0.3198	0.3198	0.2812561300555284	1.0476	True	0.0245229948662182	-1.0
0	absolute	fr	fr	0.5244148346706975	0.483	0.483	0.4903345530199838	0.6188	False	1.0	-1.0
0	relative	en	en	0.609127756018038	0.611	0.611	0.6029369112331259	0.4552	False	1.0	1.0
0	relative	en	fr	0.6093105363630835	0.6006	0.6006	0.5910269166248676	0.464	True	0.0148967152875217	0.0082592273456507
0	relative	fr	en	0.5345800228411343	0.4842	0.4842	0.4887864565199932	0.5952	True	0.0148967152875217	0.0082592273456507
0	relative	fr	fr	0.5346471469010754	0.4916	0.4916	0.4992969761163666	0.588	False	1.0	1.0
