seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched
0	absolute	en	en	0.9208067681339697	0.9205	0.9205	0.9204855084839212	0.0795	False
0	absolute	en	es	0.29632189649921853	0.37075	0.37075	0.3074852739164686	0.62925	True
0	absolute	en	fr	0.5374872494026701	0.50475	0.50475	0.36642664065636404	0.49525	True
0	absolute	es	en	0.24981235926945208	0.49925	0.49925	0.3329998332499583	0.50075	True
0	absolute	es	es	0.9241696678671468	0.924	0.924	0.923992399239924	0.076	False
0	absolute	es	fr	0.6257545271629779	0.503	0.503	0.3425612859871634	0.497	True
0	absolute	fr	en	0.5959952663317848	0.5305	0.5305	0.4339492977716049	0.4695	True
0	absolute	fr	es	0.47358023801803745	0.48625	0.48625	0.416266770346778	0.51375	True
0	absolute	fr	fr	0.882461214205545	0.88225	0.88225	0.8822337408958524	0.11775	False
0	relative	en	en	0.9052954603906247	0.905	0.905	0.9049826830939939	0.095	False
0	relative	en	es	0.744478852579252	0.74075	0.74075	0.7397576797678096	0.25925	True
0	relative	en	fr	0.830661385443629	0.82975	0.82975	0.829632606217722	0.17025	True
0	relative	es	en	0.8488847234674421	0.8475	0.8475	0.8473485315804608	0.1525	True
0	relative	es	es	0.9048659116690377	0.90375	0.90375	0.9036836320026769	0.09625	False
0	relative	es	fr	0.814376157546478	0.8035	0.8035	0.801785644035261	0.1965	True
0	relative	fr	en	0.7890243754031129	0.785	0.785	0.7842489706668914	0.215	True
0	relative	fr	es	0.7689122989880565	0.76625	0.76625	0.7656700186505363	0.23375	True
0	relative	fr	fr	0.8615542923163946	0.8605	0.8605	0.8603982303098959	0.1395	False
1	absolute	en	en	0.9200443775132572	0.9195	0.9195	0.9194739095466932	0.0805	False
1	absolute	en	es	0.2939570071338341	0.45225	0.45225	0.3220386708708933	0.54775	True
1	absolute	en	fr	0.7501876407305479	0.50075	0.50075	0.3349978367449659	0.49925	True
1	absolute	es	en	0.3330829577699883	0.499	0.499	0.3333313373193732	0.501	True
1	absolute	es	es	0.9154622770114328	0.91075	0.91075	0.910496206399258	0.08925	False
1	absolute	es	fr	0.5744790192602744	0.50375	0.50375	0.3492549501905478	0.49625	True
1	absolute	fr	en	0.6080216498127624	0.5285	0.5285	0.4221523385366176	0.4715	True
1	absolute	fr	es	0.4670111799111281	0.47	0.47	0.4577171580593334	0.53	True
1	absolute	fr	fr	0.8764663057572399	0.87025	0.87025	0.8697121636686342	0.12975	False
1	relative	en	en	0.8800168668447417	0.87975	0.87975	0.8797288849023557	0.12025	False
1	relative	en	es	0.790114910064378	0.7835	0.7835	0.7822588208435133	0.2165	True
1	relative	en	fr	0.8069136239834582	0.80625	0.80625	0.8061452093697399	0.19375	True
1	relative	es	en	0.8319384800572581	0.8265	0.8265	0.825786421181158	0.1735	True
1	relative	es	es	0.9057217322055576	0.9035	0.9035	0.9033677103955317	0.0965	False
1	relative	es	fr	0.8280378649421247	0.81675	0.81675	0.8151599015001488	0.18325	True
1	relative	fr	en	0.7924679487179487	0.792	0.792	0.7919167667066827	0.208	True
1	relative	fr	es	0.7807078264159144	0.779	0.779	0.7786633469507119	0.221	True
1	relative	fr	fr	0.8526139924349637	0.85175	0.85175	0.8516591319470133	0.14825	False
