seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched
1	absolute	en	en	0.9500806436253445	0.949	0.949	0.9489693688636606	0.051	False
1	absolute	en	es	0.5721041864986935	0.56675	0.56675	0.5585549871919174	0.43325	True
1	absolute	en	fr	0.5222304396530317	0.5205	0.5205	0.5109836189710819	0.4795	True
1	absolute	es	en	0.08629648476123102	0.1	0.1	0.09248486718516032	0.9	True
1	absolute	es	es	0.9504582243141892	0.95025	0.95025	0.9502442501011523	0.04975	False
1	absolute	es	fr	0.1737517653157904	0.208	0.208	0.18665456233389063	0.792	True
1	absolute	fr	en	0.29949874686716793	0.498	0.498	0.33288482462478924	0.502	True
1	absolute	fr	es	0.9289322444989001	0.92775	0.92775	0.9277001809059056	0.07225	True
1	absolute	fr	fr	0.9457688337332252	0.94575	0.94575	0.9457494269783224	0.05425	False
1	relative	en	en	0.94500178000712	0.945	0.945	0.9449999449999449	0.055	False
1	relative	en	es	0.946831435029034	0.94675	0.94675	0.9467475736863261	0.05325	True
1	relative	en	fr	0.9449752687297945	0.94475	0.94475	0.9447430065367648	0.05525	True
1	relative	es	en	0.949501798007192	0.9495	0.9495	0.9494999494999494	0.0505	True
1	relative	es	es	0.9421653929046608	0.94125	0.94125	0.9412195774575578	0.05875	False
1	relative	es	fr	0.9496962110654297	0.94925	0.94925	0.9492374077044486	0.05075	True
1	relative	fr	en	0.9412986531765127	0.94125	0.94125	0.9412483806584919	0.05875	True
1	relative	fr	es	0.9370983876927514	0.9365	0.9365	0.9364782596843771	0.0635	True
1	relative	fr	fr	0.9442634389690288	0.94425	0.94425	0.9442495783874365	0.05575	False
