seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched
1	absolute	en	en	0.6415544869532103	0.6596	0.6596	0.6399708726229476	0.408	False
1	absolute	en	es	0.07987975951903807	0.1992	0.1992	0.06684208340600835	1.8028	True
1	absolute	en	fr	0.04776119402985075	0.0032	0.0032	0.005998125585754453	2.7754	True
1	absolute	es	en	0.18462760624649527	0.3872	0.3872	0.2330525620380693	1.1964	True
1	absolute	es	es	0.6195156075666368	0.647	0.647	0.623089071577536	0.4296	False
1	absolute	es	fr	0.19745454545454544	0.1086	0.1086	0.1401290322580645	2.3492	True
1	absolute	fr	en	0.3192774215810422	0.2182	0.2182	0.15068532373854845	1.016	True
1	absolute	fr	es	0.2552777707120273	0.166	0.166	0.1531741194624207	1.9836	True
1	absolute	fr	fr	0.5601755199263737	0.5948	0.5948	0.549205965895392	0.539	False
1	relative	en	en	0.6215695883378044	0.6454	0.6454	0.6253653354044985	0.4308	False
1	relative	en	es	0.5036052963630977	0.4834	0.4834	0.47387597238242113	0.881	True
1	relative	en	fr	0.4944126057176673	0.5472	0.5472	0.5044791175238839	0.6508	True
1	relative	es	en	0.525174485348816	0.5606	0.5606	0.5268301089380028	0.6048	True
1	relative	es	es	0.5821426845661288	0.618	0.618	0.5824196760310504	0.4774	False
1	relative	es	fr	0.49887080616653673	0.5188	0.5188	0.4906077570360882	0.6974	True
1	relative	fr	en	0.48199233643865175	0.5088	0.5088	0.4818567239910719	0.739	True
1	relative	fr	es	0.4873140113566512	0.497	0.497	0.47689356078284434	0.7752	True
1	relative	fr	fr	0.547889644631885	0.5786	0.5786	0.5529677996996589	0.5514	False
