seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched
0	absolute	en	en	0.7331431855560526	0.7306	0.7306	0.7316784761211844	0.2914	False
0	absolute	en	es	0.3422420161904824	0.3204	0.3204	0.3061139108482967	1.1508	True
0	absolute	en	fr	0.19540708336582915	0.2256	0.2256	0.19196460185483252	1.1588	True
0	absolute	es	en	0.18209805624822373	0.1626	0.1626	0.16428095492919825	1.8198	True
0	absolute	es	es	0.6790909364566163	0.6856	0.6856	0.6819159308907491	0.3408	False
0	absolute	es	fr	0.26977701205532634	0.1388	0.1388	0.15550447186704977	2.0734	True
0	absolute	fr	en	0.5350386795575053	0.4228	0.4228	0.3760500765388805	0.8214	True
0	absolute	fr	es	0.21628644635850974	0.1154	0.1154	0.10817820738497426	2.1436	True
0	absolute	fr	fr	0.6488046851296733	0.6656	0.6656	0.6527467278409067	0.381	False
0	relative	en	en	0.7274023802144327	0.7346	0.7346	0.7279694924875865	0.285	False
0	relative	en	es	0.7021748964298175	0.7084	0.7084	0.6975437530998552	0.3134	True
0	relative	en	fr	0.7253257337010555	0.7336	0.7336	0.727070965367556	0.2862	True
0	relative	es	en	0.6789157723902495	0.6732	0.6732	0.6694269619080666	0.3572	True
0	relative	es	es	0.6905951073113566	0.6852	0.6852	0.6860007648770741	0.34	False
0	relative	es	fr	0.6811355026037436	0.663	0.663	0.6641478662009377	0.3662	True
0	relative	fr	en	0.6459738785835402	0.662	0.662	0.6437368211771265	0.3848	True
0	relative	fr	es	0.643850835607754	0.6622	0.6622	0.6427570192626881	0.385	True
0	relative	fr	fr	0.6538714981008775	0.656	0.656	0.6526768201192954	0.3858	False
0	absolute	en	en	0.6501058639865889	0.6592	0.6592	0.6529300559615835	0.3876	False
0	absolute	en	es	0.0836371139693239	0.1816	0.1816	0.0737680597083057	1.866	True
0	absolute	en	fr	0.04	0.2	0.2	0.0666666666666666	1.2	True
0	absolute	es	en	0.1893496268350693	0.3522	0.3522	0.2419525628036266	1.174	True
0	absolute	es	es	0.6239150559061132	0.644	0.644	0.6250499515133712	0.4238	False
0	absolute	es	fr	0.2488956396707209	0.3938	0.3938	0.264352837048117	1.16	True
0	absolute	fr	en	0.3250758397190111	0.2302	0.2302	0.1770119559859795	1.0248	True
0	absolute	fr	es	0.2402337366876052	0.2436	0.2436	0.1814426292763554	1.6572	True
0	absolute	fr	fr	0.5665539261412555	0.6028	0.6028	0.5659218710343441	0.5176	False
0	relative	en	en	0.6248890154628897	0.6518	0.6518	0.6260931291600093	0.4202	False
0	relative	en	es	0.504483464413092	0.4996	0.4996	0.4944882073792822	0.78	True
0	relative	en	fr	0.5158961165550143	0.5478	0.5478	0.5218474676273539	0.6122	True
0	relative	es	en	0.5226620912133281	0.561	0.561	0.5155137182248967	0.624	True
0	relative	es	es	0.5983332727600001	0.6266	0.6266	0.6029765839064968	0.4562	False
0	relative	es	fr	0.5059699030177298	0.5176	0.5176	0.4897725907547983	0.7004	True
0	relative	fr	en	0.4857173274111905	0.5238	0.5238	0.4758975919415004	0.7336	True
0	relative	fr	es	0.4872680153291284	0.4844	0.4844	0.4652200656399227	0.795	True
0	relative	fr	fr	0.5364127461246878	0.5688	0.5688	0.5342241042854167	0.589	False
1	absolute	en	en	0.6415544869532103	0.6596	0.6596	0.6399708726229476	0.408	False
1	absolute	en	es	0.079879759519038	0.1992	0.1992	0.0668420834060083	1.8028	True
1	absolute	en	fr	0.0477611940298507	0.0032	0.0032	0.0059981255857544	2.7754	True
1	absolute	es	en	0.1846276062464952	0.3872	0.3872	0.2330525620380693	1.1964	True
1	absolute	es	es	0.6195156075666368	0.647	0.647	0.623089071577536	0.4296	False
1	absolute	es	fr	0.1974545454545454	0.1086	0.1086	0.1401290322580645	2.3492	True
1	absolute	fr	en	0.3192774215810422	0.2182	0.2182	0.1506853237385484	1.016	True
1	absolute	fr	es	0.2552777707120273	0.166	0.166	0.1531741194624207	1.9836	True
1	absolute	fr	fr	0.5601755199263737	0.5948	0.5948	0.549205965895392	0.539	False
1	relative	en	en	0.6215695883378044	0.6454	0.6454	0.6253653354044985	0.4308	False
1	relative	en	es	0.5036052963630977	0.4834	0.4834	0.4738759723824211	0.881	True
1	relative	en	fr	0.4944126057176673	0.5472	0.5472	0.5044791175238839	0.6508	True
1	relative	es	en	0.525174485348816	0.5606	0.5606	0.5268301089380028	0.6048	True
1	relative	es	es	0.5821426845661288	0.618	0.618	0.5824196760310504	0.4774	False
1	relative	es	fr	0.4988708061665367	0.5188	0.5188	0.4906077570360882	0.6974	True
1	relative	fr	en	0.4819923364386517	0.5088	0.5088	0.4818567239910719	0.739	True
1	relative	fr	es	0.4873140113566512	0.497	0.497	0.4768935607828443	0.7752	True
1	relative	fr	fr	0.547889644631885	0.5786	0.5786	0.5529677996996589	0.5514	False
